GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	CD4_T	CD8_T	Endothelial
ACVR1B	NA	NA	NA	NA	3729.64798922898	NA	NA	NA
ACVR1C	1	NA	NA	NA	184.568942215099	NA	NA	NA
ACVR2A	NA	2071.66690081623	6194.40064877263	3604.29419439759	1322.15174223372	0	165948.319255838	NA
ACVR2B	NA	267.175041536867	NA	NA	239.433429410462	NA	0	0
ACVR2B.AS1	0	NA	0	NA	NA	2610.70283972833	17382.2720951748	0
ACVRL1	NA	458.447674889847	1	NA	665.848647937938	NA	NA	NA
ACY1	1	1	1	1	12.7657996394542	NA	NA	NA
ACY3	0	NA	NA	274.721425929282	45.1995591825205	900.862359964462	0	NA
ACYP1	NA	NA	NA	0	689.253521229957	NA	44758.812588281	NA
ADA	NA	NA	NA	NA	640.578116230406	NA	NA	NA
ADAD1	0	218.642966379297	764.300551527152	NA	NA	NA	NA	0
ADAD2	NA	NA	0	205.545662985863	143.26956148068	NA	0	NA
ADAL	0	214.722217173383	0	NA	NA	1042.35956469724	NA	NA
ADAM10	NA	3020.50411772977	NA	NA	3301.31792257962	1	NA	1
ADAM11	0	NA	NA	NA	NA	NA	0	NA
ADAM12	NA	0	NA	NA	151.919570322042	NA	NA	0
ADAM15	0	NA	8771.85268431845	11836.2719421616	1338.04649450032	NA	NA	NA
ADAM17	NA	NA	7030.5399238461	NA	1549.42349111354	NA	0	0
ADAM18	0	NA	0	NA	114.56730737882	0	NA	0
ADAM19	NA	654.65575093573	NA	1001.40257116011	NA	1312.48661498233	NA	NA
ADAM2	0	7.70102866651927	0	13.4614187313656	1.37411468761754	31.4292201705982	43.6616121877399	0
ADAM20	0	52.1632828423914	212.544462844011	NA	40.3405657279152	NA	0	NA
ADAM21	0	NA	103.809855509091	0	84.9077124400743	602.856989123939	3693.13229685007	0
ADAM22	NA	189.043200411598	NA	NA	128.585865441634	NA	NA	0
ADAM23	NA	0	0	1145.7824500129	117.764749668649	NA	0	0
ADAM28	0	NA	389.458281435053	NA	129.977424333567	0	NA	NA
ADAM30	0	NA	NA	NA	51.1539349725072	NA	0	0
ADAM32	NA	56.9516207947278	1	1	72.4393161554808	NA	NA	NA
ADAM33	1	NA	NA	NA	2887.65826270776	NA	NA	NA
ADAM3A	NA	NA	NA	NA	NA	NA	NA	0
